Id,reference
0, 48.40694809
1, 75.90301514
2, 85.43315887
3, 48.48765182
4, 90.39489746
5, 10.80280781
6, 79.94184113
7, 57.03886795
8, 36.081604
9, 33.15872192
10, 38.47781372
11, 86.8582077
12, 77.86808014
13, 62.45082474
14, 32.26134491
15, 55.89659882
16, 30.41303444
17, 80.56153107
18, 86.41091156
19, 35.07733536
20, 64.24719238
21, 82.04029846
22, 26.77693558
23, 66.45814514
24, 49.11141205
25, 14.79496193
26, 17.00541115
27, 32.03220367
28, 76.15982056
29, 36.66343689
30, 86.79067993
31, 70.58279419
32, 62.60703659
33, 88.97076416
34, 60.42913055
35, 52.03522873
36, 30.30112076
37, 81.65218353
38, 39.81380463
39, 62.33469772
40, 78.70318604
41, 87.54498291
42, 48.49749374
43, 92.06697083
44, 48.12638474
45, 50.00791931
46, 21.36496925
47, 89.03328705
48, 54.08900833
49, 24.39433479
50, 62.11525726
51, 46.03123856
52, 33.90695572
53, 70.57817841
54, 86.01343536
55, 91.17756653
56, 84.38100433
57, 43.0858078
58, 28.90831566
59, 48.40232086
60, 50.1007309
61, 55.45253754
62, 35.34682846
63, 50.19865036
64, 62.82994843
65, 36.80217743
66, 69.56215668
67, 84.70689392
68, 53.58802414
69, 79.26972198
70, 87.5295105
71, 67.43632507
72, 24.42646027
73, 79.35137939
74, 59.79203033
75, 23.210989
76, 68.00814056
77, 36.8736763
78, 87.98846436
79, 34.69042969
80, 63.96953964
81, 94.789711
82, 46.27538681
83, 47.16310501
84, 21.25346947
85, 62.59432983
86, 23.59133148
87, 77.91059875
88, 17.21532249
89, 59.51535416
90, 70.99624634
91, 17.12068558
92, 38.04845047
93, 26.14575958
94, 39.95460129
95, 31.44724846
96, 13.95041847
97, 64.48452759
98, 64.99147797
99, 24.97476387
100, 50.70093155
101, 60.62266922
102, 36.14793396
103, 28.72695732
104, 62.25665665
105, 54.39872742
106, 28.81534576
107, 90.19245148
108, 55.47887421
109, 21.11119843
110, 56.00242996
111, 78.64762115
112, 27.9529438
113, 14.87690353
114, 88.86270142
115, 18.34520912
116, 81.33506012
117, 33.72775269
118, 33.64810181
119, 54.94082642
120, 51.71163559
121, 81.52303314
122, 16.68936729
123, 36.68170166
124, 38.05950546
125, 47.05508804
126, 38.26442719
127, 51.75024414
128, 27.18901253
129, 11.22208309
130, 89.63866425
131, 72.47153473
132, 69.31531525
133, 42.47029877
134, 56.33597946
135, 64.71596527
136, 50.43104553
137, 62.53936768
138, 81.41506958
139, 9.28079224
140, 18.94830132
141, 82.44283295
142, 13.34670639
143, 59.38813782
144, 48.66193008
145, 34.55094528
146, 14.7634058
147, 75.37483215
148, 38.70832825
149, 40.73891068
150, 61.3806076
151, 75.21072388
152, 42.36019135
153, 69.63426971
154, 78.75564575
155, 31.54685974
156, 79.78834534
157, 50.67827606
158, 47.72425461
159, 70.05641937
160, 32.97432709
161, 81.49822235
162, 27.10621262
163, 50.0199852
164, 30.2252636
165, 24.62216759
166, 50.67564011
167, 70.58908844
168, 37.66466522
169, 26.88356018
170, 42.09090805
171, 14.59293652
172, 35.79167557
173, 14.65286922
174, 73.54582214
175, 33.75857162
176, 64.29666138
177, 28.01952744
178, 78.14904022
179, 43.6353302
180, 45.48534775
181, 39.8660965
182, 65.02410126
183, 74.74804688
184, 32.57427979
185, 82.27854156
186, 62.31206131
187, 83.8784256
188, 44.64920044
189, 49.77450562
190, 88.37942505
191, 52.28793716
192, 40.36968613
193, 85.95904541
194, 84.55936432
195, 46.96177292
196, 27.41184044
197, 65.62340546
198, 80.14482117
199, 33.66612625
200, 63.24226379
201, 40.76666641
202, 39.23320007
203, 28.67486763
204, 60.62609863
205, 16.96959496
206, 26.07034874
207, 89.20532227
208, 35.53854752
209, 54.8886528
210, 69.90451813
211, 68.28918457
212, 55.70945358
213, 52.34100342
214, 28.09737015
215, 67.1444931
216, 45.57978058
217, 32.50376892
218, 30.21508408
219, 53.19028091
220, 13.73639011
221, 37.96131134
222, 66.75741577
223, 38.46979141
224, 60.29528809
225, 36.10380173
226, 8.28087711
227, 58.49315643
228, 35.70804214
229, 88.63594055
230, 36.45891571
231, 74.22316742
232, 26.64336586
233, 34.75987625
234, 35.08532333
235, 34.32557678
236, 60.76078033
237, 59.09020233
238, 36.7351799
239, 51.42181778
240, 74.08370209
241, 54.95808792
242, 26.56358337
243, 68.80664825
244, 62.00183487
245, 44.72237396
246, 12.78182411
247, 31.61060715
248, 27.3441658
249, 10.65633678
250, 56.0144043
251, 60.49395752
252, 58.34931564
253, 81.37244415
254, 80.59567261
255, 41.74478912
256, 16.11621475
257, 87.31578827
258, 7.82241392
259, 93.39837646
260, 59.44893646
261, 62.9548645
262, 17.21183968
263, 50.47389221
264, 59.16082382
265, 55.22807693
266, 12.69682789
267, 85.49499512
268, 18.06519699
269, 74.30784607
270, 55.29404449
271, 58.51936722
272, 82.64356232
273, 29.96878815
274, 65.50087738
275, 38.87382126
276, 47.87712097
277, 56.49312973
278, 56.76271057
279, 26.59889603
280, 60.9867363
281, 88.90525818
282, 7.45473051
283, 36.30348206
284, 70.6631012
285, 50.79938507
286, 22.02396393
287, 62.57957077
288, 41.82954025
289, 45.39856339
290, 37.18001938
291, 7.29647017
292, 43.85818863
293, 39.43429565
294, 62.16654587
295, 73.81588745
296, 35.52140045
297, 8.0214529
298, 36.56946182
299, 59.25282288
300, 24.84073639
301, 90.74546051
302, 39.41424561
303, 53.98632812
304, 11.84341145
305, 10.42554379
306, 54.42206955
307, 60.52554703
308, 56.39957428
309, 32.34594345
310, 51.28831482
311, 44.63332748
312, 32.41429138
313, 48.82799149
314, 57.97294617
315, 66.81751251
316, 47.68821716
317, 79.96586609
318, 23.41133308
319, 12.5152235
320, 27.32126617
321, 8.03152275
